screen_name,location
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
cria2,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
AnemijQa,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
cesarepm,"Kirkland, King County, Washington, United States"
HoffmanLijeron,"Fruit Cove, Myron Road, Switzerland, St. Johns County, Florida, 32259, United States"
jafo83855914,"Guayaquil, Guayas, Ecuador"
Busster_Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España"
ChavezMariaT1,"Macapá, Microrregião de Macapá, Mesorregião Sul do Amapá, Amapá, Região Norte, Brasil"
LapadulaTomi,"Balcarce, Partido de Balcarce, Buenos Aires, Argentina"
zikab17,"Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, Brasil"
juanjgld,"Medellín, Zona Urbana Medellín, Medellín, Valle de Aburrá, Antioquia, 0500, Colombia"
thessaloniky,"Hicksville, Nassau County, New York, 11801, United States"
ericolivool,"New Jersey, United States of America"
LuisCarlosAlcz2,"Santa Cruz, Argentina"
maduradascom,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
jota_jotica,"Lara, Región Centroccidental, Venezuela"
_vgangulo,"Santa Cruz, Argentina"
LaPublicacion,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España"
Qui_Goncisz,"Posadas, Municipio de Posadas, Departamento Capital, Misiones, Argentina"
e_consulta,"Puebla, México"
NicaNws,"Managua, Managua (Municipio), Departamento de Managua, 10000 (CODIGO MAESTRO), Nicaragua"
ChavezMariaT1,"Macapá, Microrregião de Macapá, Mesorregião Sul do Amapá, Amapá, Região Norte, Brasil"
Maroriva,"Köln, Regierungsbezirk Köln, Nordrhein-Westfalen, Deutschland"
GlafiroSerralde,"Tecámac, Estado de México, 55740, México"
BenjaBaldoma,"Rosario, Municipio de Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Franco47936551,"Oklahoma, United States"
gusmoral22,"Comodoro Rivadavia, Departamento Escalante, Chubut, Golfo San Jorge"
fernandoherna98,"Distrito Federal, Região Centro-Oeste, Brasil"
Radialtricolor,"New York, United States of America"
G_Arispe,"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia"
nyyzer,"Florianópolis, Microrregião de Florianópolis, Mesorregião da Grande Florianópolis, Santa Catarina, Região Sul, Brasil"
LuizBor86589999,"São Bernardo do Campo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
gusmoral22,"Comodoro Rivadavia, Departamento Escalante, Chubut, Golfo San Jorge"
Contextogeo,"Rio de Janeiro, Microrregião Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil"
davidrincones47,"Celaya, Guanajuato, 38000, México"
JohnnyBamb,"Washington, District of Columbia, 20500, United States of America"
_vgangulo,"Santa Cruz, Argentina"
ExtraVzla,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
ExtraVzla,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
davidrincones47,"Celaya, Guanajuato, 38000, México"
LuisPoncekirk,"Hermosillo, Sonora, 83000, México"
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
digital_retweet,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
VOANoticias,"Washington, District of Columbia, 20500, United States of America"
carloscarias,"Rovereto, Via Edmo Ido Manzolli, Ostellato, Unione dei comuni Valli e Delizie, Ferrara, Emilia-Romagna, 44020, Italia"
yakhob_ben_ezra,"Monterrey, Nuevo León, México"
JohnnyBamb,"Washington, District of Columbia, 20500, United States of America"
juanTTorres9,"Independence, Jackson County, Missouri, United States"
Andreaslaralop2,"Puebla, México"
reinaldo8501011,"Santa Clara, Santa Clara County, California, United States"
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
MontoyaRenne,"قرطاج, قرطاج الشاطئ, قرطاج, تونس, 2016, تونس"
CarlosRG2019,"Cajamarca, Urb. El molinito, Chiclayo, Lambayeque, 5174, Perú"
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
BoliviaMagus,"Santa Cruz de la Sierra, Provincia Andrés Ibáñez, Santa Cruz, 3212, Bolivia"
LuisPimen10,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
JGG0520,"New Mexico, United States of America"
Interactiva929,"Salta, Argentina"
johkhz,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
jptipnis,"Tarija, Bolivia"
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
Unnamedbasterd,"Berlin, 10117, Deutschland"
RoysCelaya,"Ahi, Divriği, Sivas, İç Anadolu Bölgesi, Türkiye"
ruben_perezzz,"Quito, Pichincha, 17041, Ecuador"
herrlichconst,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
FRIoficial,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
blacutt_maria,"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia"
