place,latitude,longitude,count
"Manta, Cuneo, Piemonte, Italia",44.6158717,7.4870199,1
"Quito, Pichincha, 17041, Ecuador",-0.2201641,-78.5123274,1
"Sucre, Provincia Oropeza, Chuquisaca, 9999, Bolivia",-19.0477251,-65.2594306,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Tlalnepantla de Baz, Estado de México, México",19.54649025,-99.1899352013895,1
"Distrito Federal, Região Centro-Oeste, Brasil",-15.7754462,-47.7970891,1
"Managua, Managua (Municipio), Departamento de Managua, 10000 (CODIGO MAESTRO), Nicaragua",12.1461244,-86.273717,1
"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México",19.4326009,-99.1333416,1
"Parnamirim, Microrregião de Natal, Mesorregião do Leste Potiguar, Rio Grande do Norte, Região Nordeste, Brasil",-5.9153334,-35.2679913,1
"Tijuana, Municipio de Tijuana, Baja California, 22105, México",32.5010188,-116.9646629,1
"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4167047,-3.7035825,1
"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4167047,-3.7035825,1
"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4167047,-3.7035825,1
"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.4972159,-73.6103642,1
"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",-34.6075616,-58.437076,1
"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.4972159,-73.6103642,1
"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,1
"Kirkland, King County, Washington, United States",47.6859573,-122.1920249,1
"Fruit Cove, Myron Road, Switzerland, St. Johns County, Florida, 32259, United States",30.0928745,-81.6069919455274,1
"Guayaquil, Guayas, Ecuador",-2.1899066,-79.887726,1
"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4167047,-3.7035825,1
"Macapá, Microrregião de Macapá, Mesorregião Sul do Amapá, Amapá, Região Norte, Brasil",0.0401529,-51.0569588,1
"Balcarce, Partido de Balcarce, Buenos Aires, Argentina",-37.8464122,-58.2556252,1
"Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, Brasil",-30.0324999,-51.2303767,1
"Medellín, Zona Urbana Medellín, Medellín, Valle de Aburrá, Antioquia, 0500, Colombia",6.2443382,-75.573553,1
"Hicksville, Nassau County, New York, 11801, United States",40.7684331,-73.5251253,1
"New Jersey, United States of America",40.0757384,-74.4041622,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela",10.506098,-66.9146017,1
"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.4972159,-73.6103642,1
"Lara, Región Centroccidental, Venezuela",10.2284518,-69.8197975,1
"Santa Cruz, Argentina",-48.5693327,-70.1606767,1
"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4167047,-3.7035825,1
"Posadas, Municipio de Posadas, Departamento Capital, Misiones, Argentina",-27.3664824,-55.894295,1
"Puebla, México",18.833333,-98.0,1
"Managua, Managua (Municipio), Departamento de Managua, 10000 (CODIGO MAESTRO), Nicaragua",12.1461244,-86.273717,1
"Macapá, Microrregião de Macapá, Mesorregião Sul do Amapá, Amapá, Região Norte, Brasil",0.0401529,-51.0569588,1
"Köln, Regierungsbezirk Köln, Nordrhein-Westfalen, Deutschland",50.938361,6.959974,1
"Tecámac, Estado de México, 55740, México",19.7115011,-98.968354,1
"Rosario, Municipio de Rosario, Departamento Rosario, Santa Fe, S2000, Argentina",-32.9595004,-60.6615415,1
"Oklahoma, United States",34.9550817,-97.2684063,1
"Comodoro Rivadavia, Departamento Escalante, Chubut, Golfo San Jorge",-45.8626547,-67.4751361,1
"Distrito Federal, Região Centro-Oeste, Brasil",-15.7754462,-47.7970891,1
"New York, United States of America",40.7127281,-74.0060152,1
"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia",-17.3935853,-66.1569588,1
